title,category,tags,author_name,view_count,rating,status,created_at
Software License Management,IT Support,software,license,compliance,Frank Brown,298,4.4,Approved,2025-01-30
Kubernetes Helm Chart Deployment,Infrastructure,kubernetes,helm,devops,Grace Henry,412,4.8,Approved,2025-02-13
Equal Opportunity Employment Policy,HR Policies,EEO,policy,HR,Henry Davis,223,4.1,Approved,2025-02-26
Apache Kafka Integration Guide,Training Materials,kafka,messaging,integration,Iris Taylor,378,4.7,Approved,2025-03-11
Depreciation Calculation Methods,Finance,depreciation,accounting,finance,Jack Wilson,134,3.5,Rejected,2025-03-24
Contract Lifecycle Management,Operations,contract,lifecycle,management,Alice Wong,267,4.2,Pending Approval,2025-04-07
Active Directory Password Policy,IT Support,password,AD,security,Bob Martinez,456,4.9,Approved,2025-04-21
PostgreSQL Database Administration,Infrastructure,postgresql,database,admin,Carol Smith,323,4.5,Approved,2025-04-29
Internship Program Guidelines,HR Policies,internship,HR,training,David Lee,167,3.7,Archived,2024-09-28
DevSecOps Implementation Guide,Training Materials,DevSecOps,security,devops,Emma Johnson,398,4.7,Approved,2025-01-22
Fixed Assets Register Management,Finance,fixed-assets,accounting,finance,Frank Brown,112,3.3,Archived,2025-02-14
Knowledge Base Article Writing Standards,Operations,knowledge,writing,standards,Grace Chen,243,4.2,Approved,2025-03-28
Zero Trust Security Architecture,Infrastructure,security,zero-trust,network,Henry Davis,387,4.7,Approved,2025-04-14
Employee Referral Program Guidelines,HR Policies,referral,recruitment,HR,Iris Taylor,156,3.8,Approved,2025-04-17
